name (there should be attribute type) str str+ agi agi+ int int+ total+(remove) lvl25(remove) speed armor hp mana dmng(min) dmg(max) range BAT ATKPT ATKBS vision1 vison2(remove) turn(remove) coll??(remove) hp/s
Abaddon 		23 	2,7 	17 	1,5 	21 	2 	6,2 	216 	310 	1,38 	660 	302 	55 	65 	150 	1,7 	0,56 	0,41 	0,25
Alchemist 		25 	1,8 	11 	1,2 	25 	1,8 	4,8 	181 	295 	1,54 	700 	350 	49 	58 	150 	1,7 	0,35 	0,65 	0,25
Ancient Apparition 		18 	1,4 	20 	2,2 	25 	2,6 	6,2 	218 	295 	1,8 	560 	350 	44 	54 	600 	1,7 	0,45 	0,25
Anti-Mage 		22 	1,2 	22 	2,8 	15 	1,8 	5,8 	204 	315 	2,08 	640 	230 	49 	53 	150 	1,45 	0,3 	0,6 	0,25
Arc Warden 		24 	2,3 	15 	1,8 	24 	2,6 	6,7 	230,5 	285 	0,1 	680 	338 	44 	54 	625 	1,7 	0,3 	0,7 	0,25
Axe 		25 	2,5 	20 	2,2 	18 	1,6 	6,3 	220,5 	290 	1,8 	700 	266 	49 	53 	150 	1,7 	0,5 	0,5 	3
Bane 		22 	2,1 	22 	2,1 	22 	2,1 	6,3 	223,5 	310 	4,08 	640 	314 	55 	61 	400 	1,7 	0,3 	0,7 	0,25
Batrider 		23 	2,4 	15 	1,5 	24 	2,5 	6,4 	222 	290 	2,1 	660 	338 	38 	42 	375 	1,7 	0,3 	0,54 	2
Beastmaster 		23 	2,2 	18 	1,6 	16 	1,9 	5,7 	199,5 	310 	4,52 	660 	242 	64 	68 	150 	1,7 	0,3 	0,7 	0,25
Bloodseeker 		23 	2,4 	24 	3 	18 	1,7 	7,1 	242,5 	290 	3,36 	660 	266 	53 	59 	150 	1,7 	0,43 	0,74 	0,25
Bounty Hunter 		17 	1,8 	21 	3 	19 	2 	6,8 	227 	315 	5,94 	540 	278 	45 	59 	150 	1,7 	0,59 	0,59 	0,75
Brewmaster 		23 	2,9 	22 	1,95 	14 	1,25 	6,1 	211,5 	300 	2,08 	660 	218 	52 	59 	150 	1,7 	0,35 	0,65 	0,75
Bristleback 		22 	2,2 	17 	1,8 	14 	2,8 	6,8 	223 	290 	3,38 	640 	218 	48 	58 	150 	1,8 	0,3 	0,3 	0,25
Broodmother 		17 	2,5 	18 	2,2 	18 	2 	6,7 	220,5 	295 	2,52 	540 	266 	44 	50 	150 	1,7 	0,4 	0,5 	0,25
Centaur Warrunner 		23 	4 	15 	2 	15 	1,6 	7,6 	243 	300 	3,1 	660 	230 	55 	57 	150 	1,7 	0,3 	0,3 	0,25
Chaos Knight 		20 	2,9 	14 	2,1 	16 	1,2 	6,2 	205 	325 	3,96 	600 	242 	49 	79 	150 	1,7 	0,5 	0,5 	0,25
Chen 		23 	1,5 	15 	2,1 	21 	2,8 	6,4 	219 	300 	1,1 	660 	302 	43 	53 	600 	1,7 	0,5 	0,5 	1800 	800 	0,6 	24 	0,25
Clinkz 		15 	1,6 	22 	3,3 	16 	1,55 	6,45 	214,25 	300 	2,08 	500 	242 	37 	43 	640 	1,7 	0,7 	0,3 	1800 	800 	0,4 	24 	0,25
Clockwerk 		24 	2,9 	13 	2,3 	17 	1,3 	6,5 	216,5 	315 	1,82 	680 	254 	55 	57 	150 	1,7 	0,33 	0,64 	1800 	800 	0,6 	24 	0,25
Crystal Maiden 		16 	1,7 	16 	1,6 	16 	2,9 	6,2 	203 	280 	1,24 	520 	242 	35 	41 	600 	1,7 	0,55 	0 	1800 	800 	0,5 	24 	0,25
Dark Seer 		22 	2,3 	12 	1,2 	25 	2,7 	6,2 	214 	300 	6,68 	640 	350 	56 	62 	150 	1,7 	0,59 	0,58 	1800 	800 	0,6 	24 	0,25
Dazzle 		16 	1,85 	21 	1,7 	27 	3,4 	6,95 	237,75 	305 	1,94 	520 	374 	41 	59 	550 	1,7 	0,3 	0,3 	1800 	800 	0,6 	24 	0,25
Death Prophet 		17 	1,9 	14 	1,4 	23 	3 	6,3 	211,5 	310 	2,96 	540 	326 	44 	56 	600 	1,7 	0,56 	0,51 	1800 	800 	0,5 	24 	0,75
Disruptor 		19 	1,9 	15 	1,4 	22 	2,5 	5,8 	201 	300 	1,1 	580 	314 	49 	53 	600 	1,7 	0,4 	0,5 	1800 	800 	0,5 	24 	0,25
Doom 		26 	3,2 	11 	0,9 	13 	2,1 	6,2 	205 	290 	0,54 	720 	206 	53 	69 	150 	2,00 	0,5 	0,7 	1800 	800 	0,5 	24 	0,25
Dragon Knight 		19 	2,8 	19 	2,2 	15 	1,7 	6,7 	220,5 	290 	3,66 	580 	230 	50 	56 	150 	1,7 	0,5 	0,5 	1800 	800 	0,6 	24 	0,25
Drow Ranger 		17 	1,6 	26 	1,9 	15 	1,4 	4,9 	180,5 	290 	0,64 	540 	230 	40 	51 	625 	1,7 	0,7 	0,3 	1800 	800 	0,7 	24 	0,25
Earth Spirit 		21 	2,9 	17 	1,5 	18 	2,1 	6,5 	218,5 	295 	3,38 	620 	266 	46 	56 	150 	1,7 	0,35 	0,65 	1800 	800 	0,6 	24 	0,25
Earthshaker 		22 	2,9 	12 	1,4 	16 	1,8 	6,1 	202,5 	310 	2,68 	640 	242 	46 	56 	150 	1,7 	0,467 	0,863 	1800 	800 	0,9 	24 	0,25
Elder Titan 		24 	2,3 	14 	1,5 	23 	1,6 	5,4 	196 	315 	2,96 	680 	326 	47 	57 	150 	1,7 	0,35 	0,97 	1800 	800 	0,4 	24 	0,25
